target,source,mode,score
1-4BN,1-4BN,exact,1.000
2-0Pp,2-0Pp,exact,1.000
2-1P,2-AP,override,1.000
3-1Np,3-1Np,exact,1.000
3-2NN,3-2NN,exact,1.000
4-1Bp,4-1Bp,exact,1.000
4-2scBB,4-2scBB,exact,1.000
4-3ocBB,4-3ocBB,exact,1.000
5-0BN,5-0Bn,override,1.000
6-1-0RP,6-1Rp,override,1.000
6-2-0Rr,6-2-0RPrp,override,1.000
6-2-1RPr,6-2-1RPr,exact,1.000
6-2-2RPPr,6-2-2RPPr,exact,1.000
6-3RRrr,6-3RRrr,exact,1.000
7-1RN,7-1Rn,override,1.000
7-2RB,7-2Rb,override,1.000
8-1RNr,8-1RNrPp,override,1.000
8-2RBr,8-2RBrPp,override,1.000
8-3RAra,8-3RAra,exact,1.000
9-1Qp,9-1Qp,exact,1.000
9-2Qq,9-2Qq,exact,1.000
9-3QPq,9-21QPq,override,1.000
10-1Qa,10-1Qa,exact,1.000
10-2Qr,10-2QrPp,override,1.000
10-3Qaa,10-3Qaa,exact,1.000
10-4Qra,10-4Qra,exact,1.000
10-5Qrr,10-5Qrr,exact,1.000
10-6Qaaa,10-6Qaaa,exact,1.000
10-7QAq,10-7QAq,exact,1.000
10-7-1Qbrr,10-7-1QbrrPp,override,1.000
