lichess_VinayVekaria_2022-04-07,lichess_meetcshah29_2022-04-07,lichess_Marceli123_2022-04-07,lichess_TalsApprentice_2022-04-07,lichess_elite_2022-02,morphy,Carlsen,twic1410,bundesliga2000,london-online-chess-league,lichess_G-Sleazy_2022-03-09,lichess_elite_2020-06,lichess_pierrethebear_2022-04-07,lichess_TheMacneil_2022-04-06,lichess_PAndres228_2022-03-11,lichess_BaDi_hs_2022-04-07,lichess_AdoboAcrobat_2022-03-09,lichess_BurntBread_2022-04-07,lichess_db_standard_rated_2013-01,twic1425
0.0195414,0,0.063674,0,0.0443092,0,0.0244559,0.0724638,0.0571569,0,0,0.0473017,0,0.026617,0.078125,0.0621504,0,0.0619003,0.00412092,0.0349223
5.53674,3.75504,5.34862,4.73136,6.07036,2.8436,4.32869,4.54106,2.01682,5.41311,8.44156,6.00778,5.65111,6.49454,5.23438,5.96644,2.53165,7.02569,4.45637,4.2256
1.3679,0.705645,1.14613,0.882117,1.42056,0.473934,1.02715,1.20773,0.29395,1.1396,0,1.39058,1.7199,1.5704,1.01562,0.870106,0.632911,1.64036,0.908252,0.733368
0.208442,0.100806,0.254696,0.721732,0.43722,0,0.464661,0.410628,0.146975,1.1396,0.649351,0.397711,0.1638,0.372638,0.15625,0.310752,0.632911,0.309502,0.179672,0.314301
0.814226,0.302419,1.27348,2.1652,1.6269,0,2.64123,1.90821,1.88618,2.2792,1.2987,1.63414,0.2457,0.958211,1.17188,0.807955,1.26582,1.57846,0.723634,1.65881
0.1889,0.176411,0.31837,0.32077,0.441224,0,0.440205,0.217391,0.106148,0,0,0.431834,0.2457,0.612191,0.234375,0.124301,0,0.464253,0.154947,0.401606
0.859823,0.730847,1.14613,1.84443,1.83296,0.947867,2.54341,1.64251,1.29828,1.7094,2.5974,1.90783,0.2457,1.78334,0.703125,0.994406,0,1.48561,0.618139,1.76358
0.788171,0.655242,0.827762,1.76423,1.44886,0.473934,3.05698,1.47343,1.56773,1.4245,1.94805,1.52189,0.4914,1.27762,1.64062,0.994406,0.632911,1.85701,0.538193,1.22228
1.66754,0.957661,1.94206,2.72654,3.56369,1.89573,4.47542,3.81643,3.04564,5.12821,1.2987,3.56834,1.0647,3.22065,2.26562,1.92666,1.26582,3.37357,1.36403,3.43985
0.429911,0.252016,0.604903,0.801925,0.74258,0.947867,0.440205,0.821256,0.375602,0.854701,0,0.72694,0.737101,0.851743,0.46875,0.435053,0.632911,0.402352,0.311542,0.628601
